app,installed_app,installed_app_24,installed_app_72,similar_app,hot_app,social_app,contact,contact_default,family,grandparent,land_line_ratio,land_line_count,mobile_phone_count,no_mobile_phone_ratio,offspring,parent,risk_keyword_ratio,risk_keyword_count,siblings,spouse,target
274.0,44.0,2.0,4.0,10.0,5.0,True,365.0,0.0,1.0,0.0,0.4657534247,170.0,194.0,0.5315068493,1.0,0.0,0.002739726,1.0,0.0,0.0,0
,,,,,,,684.0,0.0,2.0,0.0,0.480994152,329.0,345.0,0.5043859649,0.0,2.0,0.0029239766,2.0,0.0,0.0,0
297.0,37.0,2.0,4.0,8.0,7.0,True,285.0,0.0,1.0,0.0,0.3824561404,109.0,122.0,0.4280701754,0.0,1.0,0.0035087719,1.0,0.0,0.0,0
326.0,69.0,2.0,4.0,8.0,8.0,True,1013.0,0.0,7.0,0.0,0.4254689042,431.0,498.0,0.4916090819,0.0,4.0,0.011846002,12.0,2.0,1.0,0
364.0,52.0,4.0,5.0,6.0,8.0,True,102.0,0.0,0.0,0.0,0.6274509804,64.0,36.0,0.3529411765,0.0,0.0,0.0,0.0,0.0,0.0,0
290.0,60.0,3.0,4.0,5.0,5.0,True,807.0,0.0,5.0,1.0,0.5340768278,431.0,351.0,0.4349442379,0.0,3.0,0.0049566295,4.0,2.0,0.0,0
282.0,67.0,6.0,6.0,6.0,7.0,True,657.0,0.0,3.0,0.0,0.3546423135,233.0,409.0,0.6225266362,0.0,1.0,0.00152207,1.0,1.0,1.0,0
367.0,63.0,2.0,3.0,3.0,5.0,True,605.0,0.0,1.0,0.0,0.4495867769,272.0,300.0,0.4958677686,1.0,0.0,0.0066115702,4.0,0.0,0.0,0
268.0,52.0,1.0,5.0,8.0,6.0,True,174.0,0.0,1.0,0.0,0.4022988506,70.0,100.0,0.5747126437,0.0,0.0,0.0,0.0,1.0,0.0,0
275.0,65.0,2.0,9.0,28.0,7.0,True,139.0,0.0,1.0,0.0,0.4892086331,68.0,60.0,0.4316546763,0.0,1.0,0.0,0.0,0.0,0.0,0
245.0,32.0,4.0,4.0,13.0,4.0,True,114.0,0.0,0.0,0.0,0.3947368421,45.0,64.0,0.5614035088,0.0,0.0,0.0087719298,1.0,0.0,0.0,0
254.0,55.0,4.0,12.0,8.0,9.0,True,48.0,0.0,0.0,0.0,0.4791666667,23.0,13.0,0.2708333333,0.0,0.0,0.0625,3.0,0.0,0.0,0
279.0,63.0,2.0,3.0,12.0,5.0,True,268.0,0.0,3.0,0.0,0.3320895522,89.0,166.0,0.6194029851,1.0,2.0,0.0223880597,6.0,0.0,0.0,0
335.0,51.0,3.0,3.0,11.0,8.0,True,1196.0,0.0,1.0,0.0,0.4473244147,535.0,599.0,0.5008361204,0.0,1.0,0.0200668896,24.0,0.0,0.0,0
331.0,41.0,11.0,21.0,8.0,4.0,True,757.0,0.0,3.0,1.0,0.4570673712,346.0,333.0,0.4398943197,0.0,1.0,0.0184940555,14.0,1.0,1.0,0
238.0,19.0,3.0,4.0,3.0,4.0,True,76.0,0.0,0.0,0.0,0.6184210526,47.0,27.0,0.3552631579,0.0,0.0,0.0131578947,1.0,0.0,0.0,0
195.0,56.0,6.0,7.0,11.0,3.0,True,146.0,0.0,0.0,0.0,0.3698630137,54.0,87.0,0.595890411,0.0,0.0,0.0753424658,11.0,0.0,0.0,0
289.0,76.0,10.0,10.0,11.0,7.0,True,569.0,0.0,3.0,0.0,0.4165202109,237.0,313.0,0.5500878735,0.0,2.0,0.0017574692,1.0,1.0,0.0,0
